	1	1022	1114	1121	1123	1173	1176	1190	1191	129	142	155	156	159	166	181	24	5	53	714	716	720	721	724	761	764	766	770	776	785	79	791	795	88
1										28					201	128	39	215	88	33		29	422											
1022															102					102														
1114																								85										
1121																					285													
1123									59															45										
1173																																36		
1191					132																			131										
142																														26				
155													33																		29			
156												52		75											63						49			
166	145	30																	28	75		85	239					41						
181	94																						26											
47																								44										
5	153							26														199	81											
53	140														29					542	34		146											
7																		27						29										
714		27													52				74		72	41	30									26		
716				109																120														27
720															86			152					51											
721	407														462	55		110	59	82		61											34	
724			77		39		35		39																	38								
753																											27							
764																								27										
770															84														82					
776															41													43						
785											49																							
79												33	33																					
791						45														36														
88																		26			25													
